a-d-sync	Altos Design Synchronization protocol
abi-instrument	Applied Biosystems Universal Instrument Framework
accessdata-f2d	FTK2 Database Discovery Service
accessdata-f2w	FTK2 Backend Processing Agent Service
accessone	Strix Systems 5S/AccessOne protocol
accountedge	MYOB AccountEdge
acrobatsrv	Adobe Acrobat
actionitems	ActionItems
activeraid	Active Storage Proprietary Device Management Protocol
activeraid-ssl	Encrypted transport of Active Storage Proprietary Device Management Protocol
addressbook	Address-O-Matic
adobe-vc	Adobe Version Cue
adisk	Automatic Disk Discovery
adpro-setup	ADPRO Security Device Setup
aecoretech	Apple Application Engineering Services
aeroflex	Aeroflex instrumentation and software
afpovertcp	Apple File Sharing
airport	AirPort Base Station
airprojector	AirProjector
airsharing	Air Sharing
airsharingpro	Air Sharing Pro
amba-cam	Ambarella Cameras
amiphd-p2p	P2PTapWar Sample Application from "iPhone SDK Development" Book
animolmd	Animo License Manager
animobserver	Animo Batch Server
anquetsync	Anquet map synchronization between desktop and handheld devices
appelezvous	Appelezvous
apple-ausend	Apple Audio Units
apple-midi	Apple MIDI
apple-sasl	Apple Password Server
applerdbg	Apple Remote Debug Services (OpenGL Profiler)
appletv	Apple TV
appletv-itunes	Apple TV discovery of iTunes
appletv-pair	Apple TV Pairing
aquamon	AquaMon
asr	Apple Software Restore
astnotify	Asterisk Caller-ID Notification Service
astralite	Astralite
async	address-o-sync
atlassianapp	Atlassian Application (JIRA, Confluence, Fisheye, Crucible, Crowd, Bamboo) discovery service
av	Allen Vanguard Hardware Service
axis-video	Axis Video Cameras
auth	Authentication Service
b3d-convince	3M Unitek Digital Orthodontic System
babyphone	BabyPhone
bdsk	BibDesk Sharing
beacon	Beacon Remote Service
beamer	Beamer Data Sharing Protocol
beatpack	BeatPack Synchronization Server for BeatMaker
beep	Xgrid Technology Preview
bfagent	BuildForge Agent
bigbangchess	Big Bang Chess
bigbangmancala	Big Bang Mancala
bittorrent	BitTorrent Zeroconf Peer Discovery Protocol
blackbook	Little Black Book Information Exchange Protocol
bluevertise	BlueVertise Network Protocol (BNP)
bookworm	Bookworm Client Discovery
bootps	Bootstrap Protocol Server
boundaryscan	Proprietary
bousg	Bag Of Unusual Strategy Games
bri	RFID Reader Basic Reader Interface
bsqdea	Backup Simplicity
busycal	BusySync Calendar Synchronization Protocol
caltalk	CalTalk
cardsend	Card Send Protocol
cctv	IP and Closed-Circuit Television for Securitiy applications
cheat	The Cheat
chess	Project Gridlock
chfts	Fluid Theme Server
chili	The CHILI Radiology System
cip4discovery	Discovery of JDF (CIP4 Job Definition Format) enabled devices
clipboard	Clipboard Sharing
clique	Clique Link-Local Multicast Chat Room
clscts	Oracle CLS Cluster Topology Service
collection	Published Collection Object
com-ocs-es-mcc	ElectraStar media centre control protocol
contactserver	Now Contact
corroboree	Corroboree Server
cpnotebook2	NoteBook 2
cvspserver	CVS PServer
cw-codetap	CodeWarrior HTI Xscale PowerTAP
cw-dpitap	CodeWarrior HTI DPI PowerTAP
cw-oncetap	CodeWarrior HTI OnCE PowerTAP
cw-powertap	CodeWarrior HTI COP PowerTAP
cytv	CyTV
daap	Digital Audio Access Protocol (iTunes)
dacp	Digital Audio Control Protocol (iTunes)
dancepartner	Dance partner application for iPhone
dataturbine	Open Source DataTurbine Streaming Data Middleware
device-info	Device Info
difi	EyeHome
disconnect	DisConnect Peer to Peer Game Protocol
dist-opencl	Distributed OpenCL discovery protocol
distcc	Distributed Compiler
ditrios	Ditrios SOA Framework Protocol
divelogsync	Dive Log Data Sharing and Synchronization Protocol
dltimesync	Local Area Dynamic Time Synchronisation Protocol
dns-llq	DNS Long-Lived Queries
dns-sd	DNS Service Discovery
dns-update	DNS Dynamic Update Service
domain	Domain Name Server
dop	Roar (Death of Productivity)
dossier	Vortimac Dossier Protocol
dpap	Digital Photo Access Protocol (iPhoto)
dropcopy	DropCopy
dsl-sync	Data Synchronization Protocol for Discovery Software products
dtrmtdesktop	Desktop Transporter Remote Desktop Protocol
dvbservdsc	DVB Service Discovery
dxtgsync	Documents To Go Desktop Sync Protocol
ea-dttx-poker	Protocol for EA Downtown Texas Hold 'em
earphoria	Earphoria
eb-amuzi	Amuzi peer-to-peer session synchronization protocol
ebms	ebXML Messaging
ecms	Northrup Grumman/Mission Systems/ESL Data Flow Protocol
ebreg	ebXML Registry
ecbyesfsgksc	Net Monitor Anti-Piracy Service
edcp	LaCie Ethernet Disk Configuration Protocol
egistix	Egistix Auto-Discovery
eheap	Interactive Room Software Infrastructure (Event Sharing)
embrace	DataEnvoy
ep	Endpoint Protocol (EP) for use in Home Automation systems
eppc	Remote AppleEvents
erp-scale	Pocket Programs ERP-Scale Server Discovery protocol
esp	Extensis Server Protocol
eucalyptus	Eucalyptus Discovery
eventserver	Now Up-to-Date
evs-notif	EVS Notification Center Protocol
ewalletsync	Synchronization Protocol for Ilium Software's eWallet
example	Example Service Type
